Variable,Description
numinstls_657L,Number of instalments.
numinstlsallpaid_934L,Number of paid instalments.
numinstlswithdpd10_728L,Number of instalments that were overdue for 10 or more days.
numinstlswithdpd5_4187116L,Number of instalments that were overdue by at least 5 days.
numinstlswithoutdpd_562L,Number of instalments that were not past due date.
numinstmatpaidtearly2d_4499204L,Number of instalments that have been paid more than 2 days before their due date.
numinstpaid_4499208L,Number of paid instalments.
numinstpaidearly3d_3546850L,Number of instalments paid more than three days before the due date.
numinstpaidearly3dest_4493216L,Number of instalments that have been paid more than 3 days in advance of the due date.
numinstpaidearly5d_1087L,Number of instalments paid more than 5 days prior to the due date.
numinstpaidearly5dest_4493211L,Number of instalments that were paid more than 5 days before the due date.
numinstpaidearly5dobd_4499205L,Number of installments paid more than 5 days prior to the due date.
numinstpaidearly_338L,Number of installments paid prior to the due date.
numinstpaidearlyest_4493214L,Number of instalments paid before the due date.
numinstpaidlastcontr_4325080L,Number of paid installments from the client's last contract.
numinstpaidlate1d_3546852L,Number of instalments paid more than 1 day past their due date.
numinstregularpaid_973L,Number of fully paid regular installments in the client's previous contracts.
numinstregularpaidest_4493210L,Number of fully paid regular installments on clients' previous contracts.
numinsttopaygr_769L,Number of unpaid instalments.
numinsttopaygrest_4493213L,Number of unpaid instalments.
numinstunpaidmax_3546851L,Maximum number of unpaid instalments.
numinstunpaidmaxest_4493212L,Maximum number of unpaid instalments.
numnotactivated_1143L,Number of non-activated credits.
numpmtchanneldd_318L,Number of previous loan contracts for the applicant that had direct debit as payment channel.
numrejects9m_859L,Number of credit applications that were rejected in the last 9 months.
opencred_647L,Number of active loans from the previous application.
paytype1st_925L,Type of first payment of the client.
paytype_783L,Type of payment.
payvacationpostpone_4187118D,Date of last payment holiday instalment.
pctinstlsallpaidearl3d_427L,Percentage of installments paid at least 3 days prior to the due date.
pctinstlsallpaidlat10d_839L,Percentage of installments that were paid 10 or more days after the due date.
pctinstlsallpaidlate1d_3546856L,Percentage of installments that are paid 1 or more days after the due date.
pctinstlsallpaidlate4d_3546849L,Percentage of installments that were paid 4 or more days past their due date.
pctinstlsallpaidlate6d_3546844L,Percentage of installments that were paid 6 or more days past their due date.
pmtnum_254L,Total number of loan payments made by the client.
posfpd10lastmonth_333P,Average FPD10 (Share of contracts with first installment past due more than 10 days) from point of sales that processed contract in the previous month.
posfpd30lastmonth_3976960P,Average FPD30 (Share of contracts with first installment past due more than 30 days) from point of sales that processed contract in the previous month.
posfstqpd30lastmonth_3976962P,"Average FSTPD30 (share of contracts with first, second, or third installment past due more than 30 days) from point of sale that processed contract in the last month."
previouscontdistrict_112M,Contact district of the client's previous approved application.
price_1097A,Credit price.
sellerplacecnt_915L,Number of sellerplaces where the same client's document was used.
sellerplacescnt_216L,Number of sellerplaces where the same client's mobile phone was used.
sumoutstandtotal_3546847A,Sum of total outstanding amount.
sumoutstandtotalest_4493215A,Sum of total outstanding amount.
totaldebt_9A,Total amount of debt.
totalsettled_863A,Sum of all payments made by the client.
totinstallast1m_4525188A,Total amount of monthly instalments paid in the previous month.
twobodfilling_608L,Type of application process.
typesuite_864L,Persons accompanying the client during the loan application process.
validfrom_1069D,Date since the client has an active campaign.
